round,home_team,away_team,date
1,NEW,NQC,2026-03-01
1,BUL,STG,2026-03-01
1,MEL,PAR,2026-03-05
1,NZL,SYD,2026-03-06
1,BRO,PTH,2026-03-06
1,SHA,GCT,2026-03-07
1,MNL,CBR,2026-03-07
1,DOL,STH,2026-03-08
2,BRO,PAR,2026-03-12
2,NZL,CBR,2026-03-13
2,SYD,STH,2026-03-13
2,WST,NQC,2026-03-14
2,STG,MEL,2026-03-14
2,PTH,SHA,2026-03-14
2,MNL,NEW,2026-03-15
2,DOL,GCT,2026-03-15
3,CBR,BUL,2026-03-19
3,SYD,PTH,2026-03-20
3,MEL,BRO,2026-03-20
3,NEW,NZL,2026-03-21
3,SHA,DOL,2026-03-21
3,STH,WST,2026-03-21
3,PAR,STG,2026-03-22
3,NQC,GCT,2026-03-22
4,MNL,SYD,2026-03-26
4,NZL,WST,2026-03-27
4,BRO,DOL,2026-03-27
4,BUL,NEW,2026-03-28
4,PTH,PAR,2026-03-28
4,NQC,MEL,2026-03-28
4,CBR,SHA,2026-03-29
4,GCT,STG,2026-03-29
5,DOL,MNL,2026-04-02
5,STH,BUL,2026-04-03
5,PTH,MEL,2026-04-03
5,STG,NQC,2026-04-04
5,GCT,BRO,2026-04-04
5,SHA,NZL,2026-04-05
5,NEW,CBR,2026-04-05
5,PAR,WST,2026-04-06
6,BUL,PTH,2026-04-09
6,STG,MNL,2026-04-10
6,BRO,NQC,2026-04-10
6,STH,CBR,2026-04-11
6,SHA,SYD,2026-04-11
6,MEL,NZL,2026-04-11
6,PAR,GCT,2026-04-12
6,WST,NEW,2026-04-12
7,NQC,MNL,2026-04-16
7,CBR,MEL,2026-04-17
7,DOL,PTH,2026-04-17
7,NZL,GCT,2026-04-18
7,STH,STG,2026-04-18
7,WST,BRO,2026-04-18
7,SYD,NEW,2026-04-19
7,PAR,BUL,2026-04-19
8,WST,CBR,2026-04-23
8,NQC,SHA,2026-04-24
8,BRO,BUL,2026-04-24
8,STG,SYD,2026-04-25
8,NZL,DOL,2026-04-25
8,MEL,STH,2026-04-25
8,NEW,PTH,2026-04-26
8,MNL,PAR,2026-04-26
9,BUL,NQC,2026-05-01
9,DOL,MEL,2026-05-01
9,GCT,CBR,2026-05-02
9,PAR,NZL,2026-05-02
9,SYD,BRO,2026-05-02
9,NEW,STH,2026-05-03
9,SHA,WST,2026-05-03
9,PTH,MNL,2026-05-03
10,DOL,BUL,2026-05-07
10,SYD,GCT,2026-05-08
10,NQC,PAR,2026-05-08
10,STG,NEW,2026-05-09
10,STH,SHA,2026-05-09
10,MNL,BRO,2026-05-09
10,MEL,WST,2026-05-10
10,CBR,PTH,2026-05-10
11,SHA,BUL,2026-05-15
11,STH,DOL,2026-05-15
11,WST,MNL,2026-05-16
11,SYD,NQC,2026-05-16
11,PAR,MEL,2026-05-16
11,GCT,NEW,2026-05-17
11,NZL,BRO,2026-05-17
11,PTH,STG,2026-05-17
12,CBR,DOL,2026-05-21
12,BUL,MEL,2026-05-22
12,STG,NZL,2026-05-23
12,MNL,GCT,2026-05-23
12,NQC,STH,2026-05-24
13,SHA,MNL,2026-05-29
13,NEW,PAR,2026-05-30
13,WST,BUL,2026-05-30
13,MEL,SYD,2026-05-30
13,BRO,STG,2026-05-31
13,CBR,NQC,2026-05-31
13,PTH,NZL,2026-05-31
14,MNL,STH,2026-06-04
14,MEL,NEW,2026-06-05
14,CBR,SYD,2026-06-05
14,NQC,DOL,2026-06-06
14,BRO,GCT,2026-06-06
14,WST,PTH,2026-06-07
14,SHA,STG,2026-06-07
14,BUL,PAR,2026-06-08
15,STH,BRO,2026-06-11
15,DOL,SYD,2026-06-12
15,NZL,SHA,2026-06-13
15,PAR,CBR,2026-06-13
15,WST,GCT,2026-06-14
16,NEW,STG,2026-06-19
16,WST,DOL,2026-06-20
16,GCT,PTH,2026-06-20
16,BUL,MNL,2026-06-20
16,NZL,NQC,2026-06-21
16,MEL,CBR,2026-06-21
16,SYD,SHA,2026-06-21
17,PAR,STH,2026-06-25
17,GCT,BUL,2026-06-26
17,BRO,SYD,2026-06-26
17,DOL,NZL,2026-06-27
17,NQC,PTH,2026-06-27
17,MNL,MEL,2026-06-27
17,CBR,STG,2026-06-28
17,NEW,WST,2026-06-28
18,PTH,STH,2026-07-03
18,STG,WST,2026-07-04
18,BRO,SHA,2026-07-04
18,PAR,MNL,2026-07-05
18,NEW,DOL,2026-07-05
19,WST,NZL,2026-07-10
19,DOL,SHA,2026-07-11
19,BUL,CBR,2026-07-11
19,SYD,PAR,2026-07-11
19,STH,NEW,2026-07-12
19,MNL,NQC,2026-07-12
19,MEL,GCT,2026-07-12
20,PTH,BRO,2026-07-16
20,SHA,NEW,2026-07-17
20,SYD,MEL,2026-07-17
20,CBR,STH,2026-07-18
20,NZL,STG,2026-07-18
20,BUL,WST,2026-07-18
20,GCT,MNL,2026-07-19
20,DOL,NQC,2026-07-19
21,PAR,PTH,2026-07-23
21,NEW,SYD,2026-07-24
21,STH,MEL,2026-07-24
21,CBR,WST,2026-07-25
21,BUL,NZL,2026-07-25
21,NQC,BRO,2026-07-25
21,STG,GCT,2026-07-26
21,MNL,SHA,2026-07-26
22,NQC,SYD,2026-07-30
22,STG,DOL,2026-07-31
22,MEL,BUL,2026-07-31
22,GCT,NZL,2026-08-01
22,PTH,CBR,2026-08-01
22,BRO,NEW,2026-08-01
22,SHA,STH,2026-08-02
22,WST,PAR,2026-08-02
23,GCT,NQC,2026-08-06
23,NZL,PTH,2026-08-07
23,SYD,BUL,2026-08-07
23,MEL,MNL,2026-08-08
23,DOL,BRO,2026-08-08
23,STH,PAR,2026-08-08
23,CBR,NEW,2026-08-09
23,STG,SHA,2026-08-09
24,PTH,SYD,2026-08-13
24,MNL,DOL,2026-08-14
24,BUL,STH,2026-08-14
24,SHA,CBR,2026-08-15
24,PAR,NQC,2026-08-15
24,BRO,NZL,2026-08-15
24,NEW,GCT,2026-08-16
24,WST,STG,2026-08-16
25,MEL,PTH,2026-08-20
25,CBR,BRO,2026-08-21
25,DOL,PAR,2026-08-21
25,NEW,MNL,2026-08-22
25,STH,NZL,2026-08-22
25,STG,BUL,2026-08-22
25,GCT,SHA,2026-08-23
25,SYD,WST,2026-08-23
26,BRO,MEL,2026-08-27
26,MNL,STG,2026-08-28
26,PTH,BUL,2026-08-28
26,GCT,STH,2026-08-29
26,SYD,DOL,2026-08-29
26,NQC,WST,2026-08-29
26,NZL,NEW,2026-08-30
26,PAR,SHA,2026-08-30
27,BUL,BRO,2026-09-03
27,GCT,DOL,2026-09-04
27,STH,SYD,2026-09-04
27,NZL,MNL,2026-09-05
27,NQC,CBR,2026-09-05
27,SHA,MEL,2026-09-05
27,STG,PAR,2026-09-06
27,PTH,WST,2026-09-06
